name,type,address
해상2호공원,culture_park,강원도 양양군 현남면 인구리 1-72
인구어린이공원,culture_park,강원도 양양군 현남면 인구리 641-5 파스텔모텔
도말어린이공원,culture_park,강원도 원주시 개운동 203-1
개운어린이공원,culture_park,강원도 원주시 개운동 438
나옹정어린이공원,culture_park,강원도 원주시 관설동 1693
단관(시민)공원,culture_park,강원도 원주시 관설동 1751-3
관설어린이공원,culture_park,강원도 원주시 관설동 1792-2
햇빛어린이공원,culture_park,강원도 원주시 단계동 1083
백간어린이공원,culture_park,강원도 원주시 단계동 1095-2
청곡공원,culture_park,강원도 원주시 단계동 1097
백간공원,culture_park,강원도 원주시 단계동 1104
봉화산2지구2(3호),culture_park,강원도 원주시 단계동 1183
봉화산2지구1(바우골),culture_park,강원도 원주시 단계동 1186-8
봉화산2지구 1(바우골),culture_park,강원도 원주시 단계동 1200-1
봉화산 2지구 1,culture_park,강원도 원주시 단계동 1207-23
일산공원,culture_park,강원도 원주시 단계동 282-2
단계어린이공원,culture_park,강원도 원주시 단계동 791
초롱어린이공원,culture_park,강원도 원주시 단계동 806-2
한빛어린이공원,culture_park,강원도 원주시 단계동 807-2
평원어린이공원,culture_park,강원도 원주시 단계동 817
소망어린이공원,culture_park,강원도 원주시 단계동 823
장미공원,culture_park,강원도 원주시 단계동 854
이화어린이공원,culture_park,강원도 원주시 단계동 903
단계조각(단계3호)공원,culture_park,강원도 원주시 단계동 909 원주시 청소년 수련관(YWCA)
달빛어린이공원,culture_park,강원도 원주시 단계동 933
봉화산공원,culture_park,강원도 원주시 단계동 산 57
단구어린이공원,culture_park,강원도 원주시 단구동 1462-4
희망어린이공원,culture_park,강원도 원주시 단구동 1474-3
빨강어린이공원,culture_park,강원도 원주시 단구동 1517-6
노랑어린이공원,culture_park,강원도 원주시 단구동 1530-1
초록어린이공원,culture_park,강원도 원주시 단구동 1542
하양어린이공원,culture_park,강원도 원주시 단구동 1555
보라어린이공원,culture_park,강원도 원주시 단구동 1578-1
하늘어린이공원,culture_park,강원도 원주시 단구동 1610-4
박경리문학공원,culture_park,강원도 원주시 단구동 1620-5
새싹어린이공원,culture_park,강원도 원주시 단구동 1678-3
새빛누리어린이공원,culture_park,강원도 원주시 단구동 1711 원주단구 내안애카운티 에듀파크 2단지
단구공원,culture_park,강원도 원주시 단구동 990 원주시립중앙도서관
갈색어린이공원,culture_park,강원도 원주시 명륜동 387
새마을어린이공원,culture_park,강원도 원주시 명륜동 485
주황어린이공원,culture_park,강원도 원주시 명륜동 836-2
명륜어린이공원,culture_park,강원도 원주시 명륜동 산 169
중앙공원,culture_park,강원도 원주시 무실동 12-4
두름어린이공원,culture_park,강원도 원주시 무실동 1640 요진보네르카운티
구름어린이공원,culture_park,강원도 원주시 무실동 1644 무실주공4단지아파트
아름어린이공원,culture_park,강원도 원주시 무실동 1645-1
너름공원,culture_park,강원도 원주시 무실동 1653
푸름어린이공원,culture_park,강원도 원주시 무실동 1666-4
기름어린이공원,culture_park,강원도 원주시 무실동 1673
무실어린이공원,culture_park,강원도 원주시 무실동 1733-3
박건호공원,culture_park,강원도 원주시 무실동 1761-1
시청공원,culture_park,강원도 원주시 무실동 1764
만대공원,culture_park,강원도 원주시 무실동 1768-1
방울꽃어린이공원,culture_park,강원도 원주시 무실동 1778
한글어린이공원,culture_park,강원도 원주시 무실동 1789
옛놀이어린이공원,culture_park,강원도 원주시 무실동 1808
무삼공원,culture_park,강원도 원주시 무실동 1826
짝지어린이공원,culture_park,강원도 원주시 무실동 1841
어깨동무어린이공원,culture_park,강원도 원주시 무실동 1846-2
우리산이야기어린이공원,culture_park,강원도 원주시 무실동 1868-4
무실체육공원,culture_park,강원도 원주시 무실동 1872
삼곡공원,culture_park,강원도 원주시 무실동 1884
별꽃어린이공원,culture_park,강원도 원주시 무실동 1891-1
튼튼어린이공원,culture_park,강원도 원주시 무실동 1912
나리어린이공원,culture_park,강원도 원주시 문막읍 건등리 1698
문막어린이공원,culture_park,강원도 원주시 문막읍 건등리 1707-1
나비어린이공원,culture_park,강원도 원주시 문막읍 동화리 1539-3
건등산어린이공원,culture_park,강원도 원주시 문막읍 동화리 1544-9
문막 12호 어린이공원,culture_park,강원도 원주시 문막읍 동화리 1642-2
동화산단(문막9호)공원,culture_park,강원도 원주시 문막읍 동화리 1679-4
동화산단어린이공원,culture_park,강원도 원주시 문막읍 동화리 1681-1
작백소공원(381호),culture_park,강원도 원주시 문막읍 반계리 2255-18
취병소공원(384호),culture_park,강원도 원주시 문막읍 반계리 2262-4
반계소공원(382호),culture_park,강원도 원주시 문막읍 반계리 2275-3
연화소공원(383호),culture_park,강원도 원주시 문막읍 취병리 438-78
입춘어린이공원,culture_park,강원도 원주시 반곡동 1798-4
봉산어린이공원,culture_park,강원도 원주시 봉산동 1196-1
동산어린이공원,culture_park,강원도 원주시 봉산동 1201-1
무지개어린이공원,culture_park,강원도 원주시 우산동 122-1
꿈동산어린이공원,culture_park,강원도 원주시 우산동 287-1
매봉산어린이공원,culture_park,강원도 원주시 우산동 820
일산소공원,culture_park,강원도 원주시 일산동 184-99
개목10길공원(성정15),culture_park,강원도 원주시 지정면 월송리 1039 오크밸리
양지길시장공원(성정10),culture_park,강원도 원주시 지정면 월송리 산 162
개나리공원(봉명4),culture_park,강원도 원주시 지정면 판대리 산 18
태실어린이공원,culture_park,강원도 원주시 태장동 1040-8 대흥아파트
태장어린이공원,culture_park,강원도 원주시 태장동 1369-6
북원어린이공원,culture_park,강원도 원주시 태장동 2705 태장주공1단지아파트
태봉어린이공원,culture_park,강원도 원주시 태장동 2708 태장주공3단지아파트
호국(태장2호)공원,culture_park,강원도 원주시 태장동 산 124-2
파랑어린이공원,culture_park,강원도 원주시 판부면 서곡리 1993
남빛어린이공원,culture_park,강원도 원주시 판부면 서곡리 2022
학성공원,culture_park,강원도 원주시 학성동 1065
행구수변공원,culture_park,강원도 원주시 행구동 1029
영냉이공원,culture_park,강원도 원주시 행구동 1851 효성 백년가약
칸나공원(쌍용2),culture_park,강원도 원주시 호저면 매호리 산 28-1
매화소공원,culture_park,강원도 원주시 흥업면 매지리 1932-10
흥업9호공원(울업),culture_park,강원도 원주시 흥업면 흥업리 1833
흥업8호공원(흥대),culture_park,강원도 원주시 흥업면 흥업리 1840
신남공원,culture_park,강원도 인제군 남면 신남리 233-1
신남 제2공원,culture_park,강원도 인제군 남면 신남리 304-19
신남 제3공원,culture_park,강원도 인제군 남면 신남리 328-1
공현진 농어촌마을 다목적광장,culture_park,강원도 인제군 북면 용대리 산262-1
천진리 전통마을숲,culture_park,강원도 인제군 북면 용대리 산262-1
금수리1길 녹색쌈지공원,culture_park,강원도 인제군 북면 용대리 산262-1
새마을지도자 공원,culture_park,강원도 인제군 북면 용대리 산262-1
원통 제5공원,culture_park,강원도 인제군 북면 원통리 1653-1
원통공원(농공단지),culture_park,강원도 인제군 북면 원통리 1707
테마근린공원,culture_park,강원도 인제군 북면 원통리 459-4
중앙공원(북면 제2공원),culture_park,강원도 인제군 북면 원통리 679-12
원통 제1공원,culture_park,강원도 인제군 북면 원통리 789-1
상남 제1공원,culture_park,강원도 인제군 상남면 상남리 135-10
거진 어린이공원,culture_park,강원도 인제군 서화면 서화리 산 1
간성 수성샘터 산림욕장,culture_park,강원도 인제군 서화면 천도리 산 1
인제 제2공원,culture_park,강원도 인제군 인제읍 남북리 801
인제 제1공원,culture_park,강원도 인제군 인제읍 상동리 42-4
인제 제6공원,culture_park,강원도 인제군 인제읍 상동리 424-2
충혼탑공원,culture_park,강원도 인제군 인제읍 상동리 산 15-1
합강공원,culture_park,강원도 인제군 인제읍 합강리 221-12 합강정휴게소
인제 제3공원,culture_park,강원도 인제군 인제읍 합강리 278-1
고한제3공원,culture_park,강원도 정선군 고한읍 고한리 63-58
고한제1공원,culture_park,강원도 정선군 고한읍 고한리 산 1-160
물하공원,culture_park,강원도 정선군 고한읍 고한리 산 2-1
증산제3공원,culture_park,강원도 정선군 남면 무릉리 431-11
증산제4공원,culture_park,강원도 정선군 남면 무릉리 615-5
증산제2공원,culture_park,강원도 정선군 남면 무릉리 800-1 민둥산 농특산물 판매장
증산공원,culture_park,강원도 정선군 남면 무릉리 819-58
제4호소공원,culture_park,강원도 정선군 남면 문곡리 319-4
제1호소공원,culture_park,강원도 정선군 남면 문곡리 597
제2호소공원,culture_park,강원도 정선군 남면 문곡리 66-7
북평4공원,culture_park,강원도 정선군 북평면 북평리 112-1
동탄지구어린이공원2,culture_park,강원도 정선군 사북읍 사북리 산 153-32
동탄지구어린이공원1,culture_park,강원도 정선군 사북읍 사북리 산 153-5
신동1공원,culture_park,강원도 정선군 신동읍 예미리 692-25
예미공원,culture_park,강원도 정선군 신동읍 예미리 728-6
노일공원,culture_park,강원도 정선군 신동읍 예미리 742-8
신동4공원,culture_park,강원도 정선군 신동읍 조동리 151-37
조동1소공원,culture_park,강원도 정선군 신동읍 조동리 17-16
신동2공원,culture_park,강원도 정선군 신동읍 조동리 210-2
조동1공원,culture_park,강원도 정선군 신동읍 조동리 산 34
조동2소공원,culture_park,강원도 정선군 신동읍 조동리 산 54-25
조동3공원,culture_park,강원도 정선군 신동읍 조동리 산19-1
구절1호 어린이공원,culture_park,강원도 정선군 여량면 구절리 267
구절2소공원,culture_park,강원도 정선군 여량면 구절리 278
구절1소공원,culture_park,강원도 정선군 여량면 구절리 290-1
임계제3공원,culture_park,강원도 정선군 임계면 송계리 692-2
모평공원,culture_park,강원도 정선군 정선읍 광하리 16-6
